home_game_id,home_season,home_week,home_game_date,home_team_name,home_opponent,home_points_scored,home_points_allowed,home_close_game_epa_per_play,home_close_game_def_epa_per_play,home_conference,home_sp_rating,home_close_game_def_play_count,home_close_game_play_count,home_game_script,home_game_script_avg_margin,home_tier,home_home_team,home_away_team,home_side,home_conference_game_number,home_conference_game_bucket,away_game_id,away_season,away_week,away_game_date,away_team_name,away_opponent,away_points_scored,away_points_allowed,away_close_game_epa_per_play,away_close_game_def_epa_per_play,away_conference,away_sp_rating,away_close_game_def_play_count,away_close_game_play_count,away_game_script,away_game_script_avg_margin,away_tier,away_home_team,away_away_team,away_side,away_conference_game_number,away_conference_game_bucket,game_id,season,week,game_date,home_team,away_team,point_differential,total_points,close_game_epa_delta,close_game_def_epa_delta,sp_rating_delta,tier_matchup,analysis_tier,trajectory_bucket,close_game_def_play_count_delta,close_game_def_play_count_abs_delta,close_game_def_play_count_sum,close_game_play_count_delta,close_game_play_count_abs_delta,close_game_play_count_sum,game_script_avg_margin_delta,game_script_avg_margin_abs_delta,game_script_avg_margin_sum,game_script_matchup,game_script_same
401525855,2023,5,2023-09-30,Texas Tech,Houston,49.0,28.0,0.375693775862069,0.26089488157894736,Big 12,6.1,76.0,58.0,competitive,4.386666666666667,P4,Texas Tech,Houston,home,2,conf_games_2_4,401525855,2023,5,2023-09-30,Houston,Texas Tech,28.0,49.0,0.26089488157894736,0.375693775862069,Big 12,-7.8,58.0,76.0,competitive,-7.380434782608695,P4,Texas Tech,Houston,away,2,conf_games_2_4,401525855,2023,5,2023-09-30,Texas Tech,Houston,21.0,77.0,0.11479889428312162,-0.11479889428312162,13.899999999999999,P4_vs_P4,P4,conf_games_2_4,18.0,18.0,134.0,-18.0,18.0,134.0,11.767101449275362,11.767101449275362,-2.9937681159420286,competitive_vs_competitive,1
401525866,2023,7,2023-10-14,Texas Tech,Kansas State,21.0,38.0,0.1761061794871795,0.36845934375,Big 12,6.1,64.0,78.0,competitive,-6.967032967032967,P4,Texas Tech,Kansas State,home,4,conf_games_2_4,401525866,2023,7,2023-10-14,Kansas State,Texas Tech,38.0,21.0,0.36845934375,0.1761061794871795,Big 12,16.2,78.0,64.0,competitive,5.3076923076923075,P4,Texas Tech,Kansas State,away,3,conf_games_2_4,401525866,2023,7,2023-10-14,Texas Tech,Kansas State,-17.0,59.0,-0.1923531642628205,0.1923531642628205,-10.1,P4_vs_P4,P4,conf_games_2_4,-14.0,14.0,142.0,14.0,14.0,142.0,-12.274725274725274,12.274725274725274,-1.6593406593406597,competitive_vs_competitive,1
401525879,2023,10,2023-11-02,Texas Tech,TCU,35.0,28.0,0.20497615584415585,0.26728155844155843,Big 12,6.1,77.0,77.0,competitive,4.261682242990654,P4,Texas Tech,TCU,home,6,conf_games_5_8,401525879,2023,10,2023-11-02,TCU,Texas Tech,28.0,35.0,0.26728155844155843,0.20497615584415585,Big 12,7.9,77.0,77.0,competitive,-7.691489361702128,P4,Texas Tech,TCU,away,6,conf_games_5_8,401525879,2023,10,2023-11-02,Texas Tech,TCU,7.0,63.0,-0.06230540259740258,0.06230540259740258,-1.8000000000000007,P4_vs_P4,P4,conf_games_5_8,0.0,0.0,154.0,0.0,0.0,154.0,11.95317160469278,11.95317160469278,-3.429807118711474,competitive_vs_competitive,1
401525898,2023,12,2023-11-18,Texas Tech,UCF,24.0,23.0,0.19751349206349206,0.3874491428571429,Big 12,6.1,70.0,63.0,competitive,-2.2048192771084336,P4,Texas Tech,UCF,home,8,conf_games_5_8,401525898,2023,12,2023-11-18,UCF,Texas Tech,23.0,24.0,0.3874491428571429,0.19751349206349206,Big 12,3.4,63.0,70.0,competitive,1.6593406593406592,P4,Texas Tech,UCF,away,8,conf_games_5_8,401525898,2023,12,2023-11-18,Texas Tech,UCF,1.0,47.0,-0.18993565079365082,0.18993565079365082,2.6999999999999997,P4_vs_P4,P4,conf_games_5_8,7.0,7.0,133.0,-7.0,7.0,133.0,-3.864159936449093,3.864159936449093,-0.5454786177677744,competitive_vs_competitive,1
401636877,2024,4,2024-09-21,Texas Tech,Arizona State,30.0,22.0,0.0606986,0.12991941791044775,Big 12,4.3,67.0,80.0,competitive,8.601769911504425,P4,Texas Tech,Arizona State,home,1,conf_game_1,401636877,2024,4,2024-09-21,Arizona State,Texas Tech,22.0,30.0,0.12991941791044775,0.0606986,Big 12,9.4,80.0,67.0,deficit,-11.715909090909092,P4,Texas Tech,Arizona State,away,1,conf_game_1,401636877,2024,4,2024-09-21,Texas Tech,Arizona State,8.0,52.0,-0.06922081791044776,0.06922081791044776,-5.1000000000000005,P4_vs_P4,P4,conf_game_1,-13.0,13.0,147.0,13.0,13.0,147.0,20.317679002413517,20.317679002413517,-3.114139179404667,competitive_vs_deficit,0
401636884,2024,5,2024-09-29,Texas Tech,Cincinnati,44.0,41.0,0.4178835846153846,0.2988216233766234,Big 12,4.3,77.0,65.0,competitive,0.045454545454545456,P4,Texas Tech,Cincinnati,home,2,conf_games_2_4,401636884,2024,5,2024-09-29,Cincinnati,Texas Tech,41.0,44.0,0.2988216233766234,0.4178835846153846,Big 12,-0.1,65.0,77.0,competitive,-2.3398058252427183,P4,Texas Tech,Cincinnati,away,2,conf_games_2_4,401636884,2024,5,2024-09-29,Texas Tech,Cincinnati,3.0,85.0,0.11906196123876123,-0.11906196123876123,4.3999999999999995,P4_vs_P4,P4,conf_games_2_4,12.0,12.0,142.0,-12.0,12.0,142.0,2.3852603706972637,2.3852603706972637,-2.294351279788173,competitive_vs_competitive,1
401636902,2024,8,2024-10-19,Texas Tech,Baylor,35.0,59.0,0.278939375,0.4148449047619048,Big 12,4.3,63.0,64.0,deficit,-12.85576923076923,P4,Texas Tech,Baylor,home,4,conf_games_2_4,401636902,2024,8,2024-10-19,Baylor,Texas Tech,59.0,35.0,0.4148449047619048,0.278939375,Big 12,8.4,64.0,63.0,competitive,9.741573033707866,P4,Texas Tech,Baylor,away,4,conf_games_2_4,401636902,2024,8,2024-10-19,Texas Tech,Baylor,-24.0,94.0,-0.1359055297619048,0.1359055297619048,-4.1000000000000005,P4_vs_P4,P4,conf_games_2_4,-1.0,1.0,127.0,1.0,1.0,127.0,-22.597342264477096,22.597342264477096,-3.1141961970613643,deficit_vs_competitive,0
401636921,2024,11,2024-11-09,Texas Tech,Colorado,27.0,41.0,-0.02870396551724138,0.1341337536231884,Big 12,4.3,69.0,87.0,competitive,-2.017543859649123,P4,Texas Tech,Colorado,home,7,conf_games_5_8,401636921,2024,11,2024-11-09,Colorado,Texas Tech,41.0,27.0,0.1341337536231884,-0.02870396551724138,Big 12,8.1,87.0,69.0,competitive,-0.42452830188679247,P4,Texas Tech,Colorado,away,6,conf_games_5_8,401636921,2024,11,2024-11-09,Texas Tech,Colorado,-14.0,68.0,-0.1628377191404298,0.1628377191404298,-3.8,P4_vs_P4,P4,conf_games_5_8,-18.0,18.0,156.0,18.0,18.0,156.0,-1.5930155577623304,1.5930155577623304,-2.4420721615359153,competitive_vs_competitive,1
401636945,2024,14,2024-11-30,Texas Tech,West Virginia,52.0,15.0,0.47025594444444446,-0.05335348571428571,Big 12,4.3,35.0,54.0,comfortable,20.04123711340206,P4,Texas Tech,West Virginia,home,9,conf_games_9_12,401636945,2024,14,2024-11-30,West Virginia,Texas Tech,15.0,52.0,-0.05335348571428571,0.47025594444444446,Big 12,2.1,54.0,35.0,large_deficit,-23.377777777777776,P4,Texas Tech,West Virginia,away,9,conf_games_9_12,401636945,2024,14,2024-11-30,Texas Tech,West Virginia,37.0,67.0,0.5236094301587302,-0.5236094301587302,2.1999999999999997,P4_vs_P4,P4,conf_games_9_12,-19.0,19.0,89.0,19.0,19.0,89.0,43.41901489117984,43.41901489117984,-3.3365406643757147,comfortable_vs_large_deficit,0
401416607,2022,5,2022-10-01,Toledo,Central Michigan,38.0,17.0,0.3144896086956522,-0.013490211267605634,Mid-American,-3.7,71.0,69.0,comfortable,14.195876288659793,G5,Toledo,Central Michigan,home,1,conf_game_1,401416607,2022,5,2022-10-01,Central Michigan,Toledo,17.0,38.0,-0.013490211267605634,0.3144896086956522,Mid-American,-14.0,69.0,71.0,deficit,-16.591397849462364,G5,Toledo,Central Michigan,away,1,conf_game_1,401416607,2022,5,2022-10-01,Toledo,Central Michigan,21.0,55.0,0.3279798199632578,-0.3279798199632578,10.3,G5_vs_G5,G5,conf_game_1,2.0,2.0,140.0,-2.0,2.0,140.0,30.787274138122157,30.787274138122157,-2.395521560802571,comfortable_vs_deficit,0
