venue_id,venue_name,elevation_feet
5944,Ray Dennison Memorial Field,6796.7
5945,Wildcat Stadium (GA),519.7
5996,Wilford Moore Stadium,1741.0
5997,Brooks Stadium (NY),27.3
6027,Albert J. H. Sloan - Alumni Stadium,568.3
6030,Harms-Eischeid Stadium,1092.5
6031,Urbana University Stadium,1051.6
6032,Hovey Field,146.5
6033,Carl Smith Stadium,2435.9
6034,Yager Stadium at Moore Bowl,934.2
6035,"Memorial Stadium (Wayne, NE)",1676.7
6036,Blue Wahoos Stadium,54.9
6041,Irwin Belk Complex,763.5
6042,Alumni Stadium (KY),503.7
6044,Lane Field,405.6
6045,Dwight T. Reed Stadium,630.5
6046,Meares Stadium,2322.6
6047,Leemon Field,512.6
6048,Duane Stadium,203.6
6049,"Memorial Stadium (Wichita Falls, TX)",948.5
6050,Ed Widseth Field,875.4
6052,Herb Parker Stadium,1614.5
6053,Robinson-Hale Stadium,356.0
6054,Fred G. Hughes Stadium,1003.2
6055,Craig Field at Spratt Memorial Stadium,892.9
6057,Ron & Carol Cope Stadium at Foster Field,2171.2
6058,Ralph F. DellaCamera Stadium,18.0
6059,Sanchez Family Stadium,6425.8
6060,Grace P. Johnson Stadium,170.8
6061,Younts Stadium,999.4
6062,Gable Field at Doc Wadley Stadium,797.1
6064,Crain Family Stadium,1057.2
6066,Pace Stadium,285.6
6067,Carnie Smith Stadium,943.5
6069,Husky Stadium,1036.8
6070,Bob Young Field,1434.7
6071,Jess Dow Field,22.3
6072,Schwan Regional Event Center,1079.1
6073,Milam Stadium,1655.9
6074,Grappone Stadium,254.4
6075,W.B. Mason Stadium,142.6
6076,Javelina Stadium,58.0
6077,Stokes Stadium,980.6
6078,Pioneer Field (TN),1525.4
6079,Alumni Stadium (VT),366.3
6080,Frank M. Lindsay Field,681.3
6081,Harper Davis Field,288.0
6082,Big Cat Stadium,1131.3
6083,Mangelsdorf Field,106.6
6084,April Zorn Memorial Stadium,766.1
6085,Sprague Field,312.1
6086,Rocco Calvo Field,281.8
6087,Drake Field (NY),1334.1
6088,Schueler Field,556.1
6089,Scotty Wood Stadium,362.6
6090,Sherman Field at McConagha Stadium,869.3
6091,Abel Stadium,1174.1
6092,Bishop Stadium,108.3
6094,Reynolds Field,956.2
6095,Sabine Field at Haynes Family Stadium,724.9
6096,Austin E. Knowlton Athletics Complex,811.0
6097,Patterson Field at Jack Kemp Stadium,300.5
6098,Dial-Roberson Stadium,760.9
6099,Selby Stadium,868.8
6100,Cutler Field,938.9
6101,"Memorial Stadium (Westerville, OH)",864.2
6102,Sparks Stadium,44.6
6104,Baker Stadium,110.7
6105,Day Field,218.9
6106,Ted Runner Stadium,1360.1
6107,ECAV Stadium,34.8
6108,Crain Field,302.6
6109,Ingalls Field,933.2
6110,Sam Greeley Field,717.6
6111,Cook Stadium,500.6
6112,Richard Wackar Stadium,146.3
6113,Leckonby Stadium,377.5
6114,Sea Gull Stadium,24.3
6115,Toppa Field,19.3
6116,Shentel Stadium,704.3
6117,Knight Stadium,831.1
6118,Birkelbach Field,754.2
6119,Stagg Field,65.0
6121,Donald J. Schneider Stadium,611.4
6123,Jackson Field,4484.2
6124,Amos Alonzo Stagg Field (PA),445.6
6126,Bob Boozer Field,518.6
6127,John P. Papp Stadium,903.4
6128,Alumni Stadium (PA),440.4
6130,Fred Zollner Athletic Stadium,1066.4
6131,Jessee/Miller Field,44.2
6132,Trinity University Stadium,645.2
6133,Ellis Oval at Zimman Field,14.4
6134,Frank Bailey Field,240.9
6135,Blue Storm Stadium,53.2
6136,Patterson Field,151.4
6137,Walston-Hoover Stadium,912.5
6138,Wilson Field,1054.1
6139,Cameron Stadium,137.1
6140,John F. Wiley Stadium,966.2
6141,Corwin Stadium,52.7
6142,Westside Athletic Complex,399.6
6144,"Alumni Field (Westfield, MA)",208.4
6146,Memorial Field (PA),1051.6
6147,"Memorial Stadium (Whittier, CA)",306.0
6148,The Pine Bowl,1884.6
6149,McCulloch Stadium,159.5
6150,Wightman Stadium,295.9
6151,Farley-Lamb Field,919.2
6152,Wiliams Stadium (OH),1017.6
6153,Hanson Stadium,208.3
6177,Alexander Durley Sports Complex,49.2
6202,Cardinal Stadium (DC),22.9
6208,Sirrine Stadium,975.2
6209,Henry Biesiot Activities Center,2412.5
6211,Sodexo Field,1307.0
6218,Garrett-Harrison Stadium,241.5
6220,Trojan Stadium,1677.7
6221,Mitchell Stadium,2568.5
6222,Lumpkins Stadium,590.2
6223,Lawrence Tech Athletic Field,684.4
6231,Lucy Laney Stadium,140.6
6241,Spirit Field,1210.1
6269,Globe Life Field,604.6
6283,A.J. Simeon Stadium,922.2
6284,Village of Lisle-Benedictine University Sports Complex,676.1
6501,Allegiant Stadium,2029.3
6526,Hancock Whitney Stadium,8.6
6553,Helen and Leonard Moretz Stadium,1162.4
6577,SHI Stadium,75.4
7003,Houck Field,401.0
7065,SoFi Stadium,126.2
7075,Electric Supply Company Field,110.1
7076,J.W. Babb Stadium,663.0
7082,Athletic Field Complex,886.0
7185,"Memorial Stadium (El Dorado, AR)",262.3
7232,Children's Health Stadium,756.3
